2026-02-21 14:30:05 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 14:37:11 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-21 14:37:49 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-21 14:52:10 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 14:52:10 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 14:52:11 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 14:55:05 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-21 15:08:30 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 15:08:30 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 15:08:30 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 15:24:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 15:24:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 15:24:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 16:22:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 16:22:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 16:22:44 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-21 16:22:47 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-21 16:38:11 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
